time,description,done_by
2023-09-14 15:07:21.982542+00:00,"AssociationPaymentRequest created by user: a@gmail.com , normal_advocate,5 and payment request id: ed8a0772baa54e6dbdc4f616262a2e5f",unknown
2023-09-14 15:08:07.317740+00:00,AssociationMembershipPayment created with payment id: ed8a0772baa54e6dbdc4f616262a2e5f and status: True,unknown
2023-09-14 15:08:07.328712+00:00,Advocate related to Association created with advocate name: a and association: Apk,unknown
2023-09-14 15:14:33.908498+00:00,Court created with name: thothukudi and type: District,unknown
2023-09-14 15:15:09.079553+00:00,Registrar created with name: aby and email: aby@gmail.com,unknown
2023-09-14 15:15:27.921904+00:00,Association updated - is_suspend: True,unknown
2023-09-14 15:15:29.840722+00:00,Association updated - is_suspend: False,unknown
2023-09-14 15:18:22.853624+00:00,Association created with name: thothukudi lawyers association and court: thothukudi,unknown
2023-09-14 15:19:24.949845+00:00,Association Admin created with name: hadhi and association: thothukudi lawyers association,unknown
2023-09-14 15:22:46.397640+00:00,MembershipPlan created with price: 5000 and association: thothukudi lawyers association,unknown
2023-09-14 15:25:53.309186+00:00,Advocate created with name: nithin krishnan and email: nithin@khcaa.com,unknown
2023-09-14 15:27:14.229990+00:00,"AssociationPaymentRequest created by user: nithin@khcaa.com , normal_advocate,6 and payment request id: 345dc8880eeb49d68ed478c0ac88fcb7",unknown
2023-09-14 15:27:56.958013+00:00,AssociationMembershipPayment created with payment id: 345dc8880eeb49d68ed478c0ac88fcb7 and status: True,unknown
2023-09-14 15:27:56.990064+00:00,Advocate related to Association created with advocate name: nithin krishnan and association: thothukudi lawyers association,unknown
2023-09-14 15:31:21.957280+00:00,Advocate created with name: sangeeth s rajan and email: sangeeth@gmail.com,unknown
2023-09-14 15:31:41.069750+00:00,"AssociationPaymentRequest created by user: sangeeth@gmail.com , normal_advocate,7 and payment request id: 4d57897b584644729c903515102b1504",unknown
2023-09-14 15:32:45.340975+00:00,AssociationMembershipPayment created with payment id: 4d57897b584644729c903515102b1504 and status: True,unknown
2023-09-14 15:32:45.374448+00:00,Advocate related to Association created with advocate name: sangeeth s rajan and association: thothukudi lawyers association,unknown
2023-09-14 15:33:40.355307+00:00,Advocate updated - profile_image: ,unknown
2023-09-14 15:33:55.001971+00:00,Advocate updated - profile_image: ,unknown
2023-09-14 15:34:01.193024+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:05.706496+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:06.644168+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:06.863833+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:09.054177+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:13.178753+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:13.339992+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:13.545838+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:14.275206+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:14.445674+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:14.617797+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:15.793952+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:15.954213+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:16.109870+00:00,Advocate updated - is_suspend: False,unknown
2023-09-14 15:34:16.323790+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:18.781781+00:00,Advocate updated - is_suspend: True,unknown
2023-09-14 15:34:19.001748+00:00,Advocate updated - is_suspend: False,unknown
